Município;Ano
São Félix de Balsas (MA);4495
São Francisco do Brejão (MA);9222
São Francisco do Maranhão (MA);12353
São João Batista (MA);18909
São João do Carú (MA);12421
São João do Paraíso (MA);10105
São João do Soter (MA);17254
São João dos Patos (MA);25891
São José de Ribamar (MA);257414
São José dos Basílios (MA);7102
São Luís (MA);1088057
São Luís Gonzaga do Maranhão (MA);18153
São Mateus do Maranhão (MA);40160
São Pedro da Água Branca (MA);14736
São Pedro dos Crentes (MA);5965
São Raimundo das Mangabeiras (MA);19129
São Raimundo do Doca Bezerra (MA);5767
São Roberto (MA);4602
São Vicente Ferrer (MA);19885
Satubinha (MA);8880
Senador Alexandre Costa (MA);10445
Senador La Rocque (MA);15035
Serrano do Maranhão (MA);10461
Sítio Novo (MA);17457
Sucupira do Norte (MA);10471
Sucupira do Riachão (MA);5088
Tasso Fragoso (MA);9106
Timbiras (MA);27344
Timon (MA);182241
Trizidela do Vale (MA);23052
Tufilândia (MA);5633
Tuntum (MA);37401
Turiaçu (MA);38905
Turilândia (MA);33032
Tutóia (MA);55041
Urbano Santos (MA);34060
Vargem Grande (MA);44540
Viana (MA);53115
Vila Nova dos Martírios (MA);10575
Vitória do Mearim (MA);31851
Vitorino Freire (MA);31906
Zé Doca (MA);41943
Acauã (PI);6515
Agricolândia (PI);5023
Água Branca (PI);18033
Alagoinha do Piauí (PI);6901
Alegrete do Piauí (PI);4713
Alto Longá (PI);13734
Altos (PI);49637
Alvorada do Gurguéia (PI);5459
Amarante (PI);17577
Angical do Piauí (PI);6982
Anísio de Abreu (PI);9631
Antônio Almeida (PI);3228
Aroazes (PI);5433
Aroeiras do Itaim (PI);2766
Arraial (PI);4593
Assunção do Piauí (PI);7597
Avelino Lopes (PI);11106
Baixa Grande do Ribeiro (PI);13838
Barra D'Alcântara (PI);4091
Barras (PI);49533
Barreiras do Piauí (PI);3334
Barro Duro (PI);6744
Batalha (PI);27123
Bela Vista do Piauí (PI);4208
Belém do Piauí (PI);3508
Beneditinos (PI);10104
Bertolínia (PI);5701
Betânia do Piauí (PI);6368
Boa Hora (PI);7108
Bocaina (PI);4131
Bom Jesus (PI);30321
Bom Princípio do Piauí (PI);5786
Bonfim do Piauí (PI);6089
Boqueirão do Piauí (PI);6728
Brasileira (PI);8658
Brejo do Piauí (PI);3969
Buriti dos Lopes (PI);20096
Buriti dos Montes (PI);7538
Cabeceiras do Piauí (PI);10449
Cajazeiras do Piauí (PI);3146
Cajueiro da Praia (PI);8203
Caldeirão Grande do Piauí (PI);5605
Campinas do Piauí (PI);4988
Campo Alegre do Fidalgo (PI);4701
Campo Grande do Piauí (PI);6188
Campo Largo do Piauí (PI);7636
Campo Maior (PI);47074
Canavieira (PI);3429
Canto do Buriti (PI);19669
Capitão de Campos (PI);11347
Capitão Gervásio Oliveira (PI);4065
Caracol (PI);10538
Caraúbas do Piauí (PI);5755
Caridade do Piauí (PI);5162
Castelo do Piauí (PI);19663
Caxingó (PI);5657
Cocal (PI);29209
Cocal de Telha (PI);5034
Cocal dos Alves (PI);6569
Coivaras (PI);4233
Colônia do Gurguéia (PI);6287
Colônia do Piauí (PI);7088
Conceição do Canindé (PI);5063
Coronel José Dias (PI);4305
Corrente (PI);28275
Cristalândia do Piauí (PI);7454
Cristino Castro (PI);10772
Curimatá (PI);11552
Currais (PI);4968
Curralinhos (PI);4527
Curral Novo do Piauí (PI);5185
Demerval Lobão (PI);16998
Dirceu Arcoverde (PI);7238
Dom Expedito Lopes (PI);6421
Domingos Mourão (PI);4138
Dom Inocêncio (PI);9335
Elesbão Veloso (PI);13786
Eliseu Martins (PI);4435
Esperantina (PI);42510
Fartura do Piauí (PI);5414
Flores do Piauí (PI);4508
Floresta do Piauí (PI);2364
Floriano (PI);64150
Francinópolis (PI);4517
Francisco Ayres (PI);4494
Francisco Macedo (PI);2986
Francisco Santos (PI);8366
Fronteiras (PI);10382
Geminiano (PI);5587
Gilbués (PI);11166
Guadalupe (PI);10478
Guaribas (PI);4350
Hugo Napoleão (PI);3562
Ilha Grande (PI);9501
Inhuma (PI);15259
Ipiranga do Piauí (PI);9620
Isaías Coelho (PI);7886
Itainópolis (PI);10980
Itaueira (PI);10493
Jacobina do Piauí (PI);5715
Jaicós (PI);17811
Jardim do Mulato (PI);4251
Jatobá do Piauí (PI);4568
Jerumenha (PI);4600
João Costa (PI);3031
Joaquim Pires (PI);14175
Joca Marques (PI);5535
José de Freitas (PI);44391
Juazeiro do Piauí (PI);5311
Júlio Borges (PI);5499
Jurema (PI);4505
Lagoinha do Piauí (PI);3029
Lagoa Alegre (PI);8449
Lagoa do Barro do Piauí (PI);5146
Lagoa de São Francisco (PI);6449
Lagoa do Piauí (PI);5009
Lagoa do Sítio (PI);4575
Landri Sales (PI);5311
Luís Correia (PI);31775
Luzilândia (PI);26204
Madeiro (PI);8218
Manoel Emídio (PI);5314
Marcolândia (PI);8783
Marcos Parente (PI);4848
Massapê do Piauí (PI);5215
Matias Olímpio (PI);10875
Miguel Alves (PI);33071
Miguel Leão (PI);1352
Milton Brandão (PI);6678
Monsenhor Gil (PI);10455
Monsenhor Hipólito (PI);7751
Monte Alegre do Piauí (PI);10910
Morro Cabeça no Tempo (PI);4458
Morro do Chapéu do Piauí (PI);6547
Murici dos Portelas (PI);10139
Nazaré do Piauí (PI);6729
Nazária (PI);10706
Nossa Senhora de Nazaré (PI);5406
Nossa Senhora dos Remédios (PI);8732
Novo Oriente do Piauí (PI);6178
Novo Santo Antônio (PI);2886
Oeiras (PI);39545
Olho D'Água do Piauí (PI);2725
Padre Marcos (PI);6481
Paes Landim (PI);4174
Pajeú do Piauí (PI);3041
Palmeira do Piauí (PI);5048
Palmeirais (PI);13480
Paquetá (PI);3878
Parnaguá (PI);10289
Parnaíba (PI);169552
Passagem Franca do Piauí (PI);4220
Patos do Piauí (PI);5461
Pau D'Arco do Piauí (PI);3972
Paulistana (PI);21601
Pavussu (PI);3698
Pedro II (PI);39039
Pedro Laurentino (PI);2514
Nova Santa Rita (PI);4147
Picos (PI);86228
Pimenteiras (PI);11528
Pio IX (PI);17947
Piracuruca (PI);29849
Piripiri (PI);67676
Porto (PI);12312
Porto Alegre do Piauí (PI);2391
Prata do Piauí (PI);3098
Queimada Nova (PI);8936
Redenção do Gurguéia (PI);8563
Regeneração (PI);17418
Riacho Frio (PI);4241
Ribeira do Piauí (PI);4114
Ribeiro Gonçalves (PI);6215
Rio Grande do Piauí (PI);5868
Santa Cruz do Piauí (PI);5928
Santa Cruz dos Milagres (PI);3466
Santa Filomena (PI);6209
Santa Luz (PI);5425
Santana do Piauí (PI);4174
Santa Rosa do Piauí (PI);4690
Santo Antônio de Lisboa (PI);5938
Santo Antônio dos Milagres (PI);2189
Santo Inácio do Piauí (PI);3719
São Braz do Piauí (PI);4451
São Félix do Piauí (PI);2885
São Francisco de Assis do Piauí (PI);5703
São Francisco do Piauí (PI);5404
São Gonçalo do Gurguéia (PI);3019
São Gonçalo do Piauí (PI);4944
São João da Canabrava (PI);4306
São João da Fronteira (PI);5615
São João da Serra (PI);6233
São João da Varjota (PI);4443
São João do Arraial (PI);8443
São João do Piauí (PI);22036
São José do Divino (PI);4906
São José do Peixe (PI);3320
São José do Piauí (PI);6732
São Julião (PI);6135
São Lourenço do Piauí (PI);4497
São Luis do Piauí (PI);2329
São Miguel da Baixa Grande (PI);2304
São Miguel do Fidalgo (PI);2870
São Miguel do Tapuio (PI);17902
São Pedro do Piauí (PI);14046
São Raimundo Nonato (PI);40784
Sebastião Barros (PI);3228
Sebastião Leal (PI);4572
Sigefredo Pacheco (PI);9631
Simões (PI);14650
Simplício Mendes (PI);14342
Socorro do Piauí (PI);4184
Sussuapara (PI);6345
Tamboril do Piauí (PI);3029
Tanque do Piauí (PI);2330
Teresina (PI);902644
União (PI);47707
Uruçuí (PI);26501
Valença do Piauí (PI);22920
Várzea Branca (PI);5173
Várzea Grande (PI);4515
Vera Mendes (PI);3271
Vila Nova do Piauí (PI);2979
Wall Ferraz (PI);4117
Abaiara (CE);10282
Acarape (CE);14306
Acaraú (CE);68758
Acopiara (CE);46215
Aiuaba (CE);14220
Alcântaras (CE);11754
Altaneira (CE);6970
Alto Santo (CE);14418
Amontada (CE);44342
Antonina do Norte (CE);7484
Apuiarés (CE);13219
Aquiraz (CE);84737
Aracati (CE);78752
Aracoiaba (CE);26696
Ararendá (CE);11485
Araripe (CE);20223
Aratuba (CE);11459
